shrid2,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
11-09-200-01006-801254,94650.53125,22889.935546875,0.16532312333583832,0.20112037658691406,0.0,0.0,1.0,1.0
11-09-200-01006-801257,139117.15625,28419.208984375,0.08515875041484833,0.10115677863359451,0.0,0.0,1.0,1.0
11-09-201-01007-801258,99135.0703125,19317.25390625,0.24641408026218414,0.3020297586917877,0.0,0.0,1.0,1.0
11-09-201-01007-801259,119257.71875,20671.857421875,0.22676032781600952,0.2665141820907593,0.0,0.0,1.0,1.0
11-09-201-01007-801260,107257.0703125,18014.830078125,0.25003525614738464,0.31532928347587585,0.0,0.0,1.0,1.0
11-09-201-01008-801261,99603.59375,16536.44921875,0.3331902027130127,0.39616429805755615,0.0,0.0,1.0,1.0
11-09-201-01008-801262,135633.4375,27206.046875,0.06381820887327194,0.08669206500053406,0.0,0.0,1.0,1.0
11-09-201-01008-801263,96257.46875,16092.4453125,0.3604940176010132,0.42503201961517334,0.0,0.0,1.0,1.0
11-09-201-01008-801264,109550.8984375,18914.7578125,0.2057124525308609,0.2694159150123596,0.0,0.0,1.0,1.0
11-09-201-01009-801265,109245.9609375,20085.009765625,0.1987019032239914,0.2521781921386719,0.0,0.0,1.0,1.0
11-09-201-01009-801266,122756.140625,22634.388671875,0.13503560423851013,0.161919966340065,0.0,0.0,1.0,1.0
11-09-202-01010-801267,107826.5859375,19800.7265625,0.237969771027565,0.2856929898262024,0.0,0.0,1.0,1.0
11-09-202-01010-801268,99755.171875,17780.75390625,0.21781183779239655,0.26793116331100464,0.0,0.0,1.0,1.0
11-09-202-01010-801269,123259.296875,25399.541015625,0.08649241179227829,0.11349739879369736,0.0,0.0,1.0,1.0
11-09-202-01011-801270,96563.4609375,16198.923828125,0.34494009613990784,0.39500534534454346,0.0,0.0,1.0,1.0
11-09-202-01011-801271,116941.5390625,20685.583984375,0.1859436184167862,0.24511216580867767,0.0,0.0,1.0,1.0
11-09-202-01012-801272,96421.8359375,16443.59375,0.3443104922771454,0.4134078323841095,0.0,0.0,1.0,1.0
11-09-202-01012-801273,120537.5390625,20120.125,0.2083262950181961,0.2559534013271332,0.0,0.0,1.0,1.0
11-09-202-01012-801274,108996.3203125,19012.66015625,0.20198112726211548,0.2535848915576935,0.0,0.0,1.0,1.0
11-09-202-01012-801275,119235.8046875,20585.9296875,0.1458463966846466,0.1926332265138626,0.0,0.0,1.0,1.0
11-09-202-01012-801276,105583.171875,17062.943359375,0.27619558572769165,0.3641859292984009,0.0,0.0,1.0,1.0
11-10-203-01014-801277,96578.9609375,19162.474609375,0.23216933012008667,0.2801359295845032,0.0,0.0,1.0,1.0
11-10-203-01017-801278,103555.4140625,19916.958984375,0.19000616669654846,0.23292839527130127,0.0,0.0,1.0,1.0
11-10-203-01019-801279,81051.7578125,16052.8818359375,0.3635973632335663,0.4244273006916046,0.0,0.0,1.0,1.0
11-10-203-01025-801280,95244.1796875,19351.65234375,0.1910848617553711,0.23861338198184967,0.0,0.0,1.0,1.0
11-10-203-01028-801281,119925.5078125,22512.201171875,0.13311251997947693,0.1716945618391037,0.0,0.0,1.0,1.0
11-10-204-01031-801282,112454.6640625,20238.095703125,0.12959159910678864,0.17702636122703552,0.0,0.0,1.0,1.0
11-10-204-01034-801283,87997.96875,17368.775390625,0.2752327024936676,0.3403905928134918,0.0,0.0,1.0,1.0
11-10-204-01039-801284,100227.28125,17640.8046875,0.238102987408638,0.3030450940132141,0.0,0.0,1.0,1.0
11-10-204-01041-801285,120230.8984375,22325.46875,0.14789454638957977,0.18785980343818665,0.0,0.0,1.0,1.0
11-10-204-01045-801286,99830.5234375,22402.69140625,0.13827396929264069,0.19097651541233063,0.0,0.0,1.0,1.0
11-10-204-01047-801287,94212.2265625,17399.505859375,0.24071767926216125,0.29646819829940796,0.0,0.0,1.0,1.0
11-10-204-01051-801288,110899.875,20692.546875,0.13132476806640625,0.18494127690792084,0.0,0.0,1.0,1.0
11-10-204-01052-801289,96442.265625,20554.802734375,0.17061951756477356,0.22265344858169556,0.0,0.0,1.0,1.0
11-10-204-01055-801290,105239.5859375,20726.373046875,0.14859437942504883,0.19615717232227325,0.0,0.0,1.0,1.0
11-10-204-01057-801291,88513.6328125,17040.83203125,0.2708487808704376,0.32391124963760376,0.0,0.0,1.0,1.0
11-10-205-01060-801292,89570.03125,19229.80078125,0.18184545636177063,0.23538674414157867,0.0,0.0,1.0,1.0
11-10-206-01063-801293,89029.859375,17454.25390625,0.24468059837818146,0.3028069734573364,0.0,0.0,1.0,1.0
11-10-206-01074-801296,117862.4140625,24429.076171875,0.11422694474458694,0.1426808387041092,0.0,0.0,1.0,1.0
11-10-206-01077-801297,107503.765625,22012.400390625,0.1458725482225418,0.17672760784626007,0.0,0.0,1.0,1.0
11-10-207-01083-801298,106138.4296875,20036.091796875,0.16317085921764374,0.21799708902835846,0.0,0.0,1.0,1.0
11-10-207-01093-801299,104462.765625,18388.19921875,0.268733948469162,0.31607183814048767,0.0,0.0,1.0,1.0
11-10-207-01097-801300,75636.0703125,14741.9951171875,0.32908913493156433,0.4236043095588684,0.0,0.0,1.0,1.0
11-10-207-01098-801301,77607.203125,14019.3359375,0.44176778197288513,0.5088032484054565,0.0,0.0,1.0,1.0
11-10-208-01101-801302,85289.4609375,16798.8359375,0.2993831932544708,0.3532369136810303,0.0,0.0,1.0,1.0
11-10-208-01102-801303,102913.1953125,21278.978515625,0.20041215419769287,0.25004294514656067,0.0,0.0,1.0,1.0
11-10-208-01109-801304,88679.5,17061.763671875,0.3156498372554779,0.37578120827674866,0.0,0.0,1.0,1.0
11-10-209-01113-801305,98161.6484375,18205.294921875,0.26843804121017456,0.32675865292549133,0.0,0.0,1.0,1.0
11-10-209-01113-801306,105716.46875,20103.859375,0.20969758927822113,0.2552993595600128,0.0,0.0,1.0,1.0
11-10-209-01116-801307,92853.8984375,17711.30078125,0.2838842272758484,0.33960476517677307,0.0,0.0,1.0,1.0
11-10-210-01123-801308,87779.640625,17995.849609375,0.2996232211589813,0.3426828682422638,0.0,0.0,1.0,1.0
11-10-210-01125-801309,83074.8984375,16302.5146484375,0.3604426980018616,0.42731574177742004,0.0,0.0,1.0,1.0
11-10-210-01127-801310,98457.6640625,19601.97265625,0.2355622947216034,0.2866100072860718,0.0,0.0,1.0,1.0
11-10-211-01128-801311,94529.5078125,17981.32421875,0.28802746534347534,0.34461891651153564,0.0,0.0,1.0,1.0
11-10-211-01134-801312,105208.4765625,19874.65625,0.24170827865600586,0.2956923544406891,0.0,0.0,1.0,1.0
11-10-211-01135-801313,88490.6015625,19971.357421875,0.1965678632259369,0.24635985493659973,0.0,0.0,1.0,1.0
11-10-212-01151-801314,107403.484375,20894.158203125,0.17937247455120087,0.22366371750831604,0.0,0.0,1.0,1.0
11-10-212-01156-801315,78730.203125,15595.6650390625,0.366195410490036,0.4289586842060089,0.0,0.0,1.0,1.0
11-10-213-01161-801316,100532.2109375,20267.37109375,0.22404766082763672,0.26990431547164917,0.0,0.0,1.0,1.0
